Greek	Parthian	Middle Persian	Frequency in line	Line 
θεοῦ	baγ	bay	2	Line 1
θεῶν	až yazdān	az yazdān	2	Line 1
ἐκ γένους	čihr	čihr	2	Line 1
Ἀριανῶν	Ērān	Ērān	2	Line 1
βασιλέων	šāhān	šāhān	2	Line 1
εἰμί	ahēm	hēm	1	Line 1
δεσπότης	xwadāy	xwadāy	1	Line 1
τοῦ Ἀριανῶν ἔθνους	Ērānšahr	Ērānšahr	1	Line 1
βασιλέως—	šāh	šāh	1	Line 1
Παπάκου	Pābag	Pābag	1	Line 1
ἔγγονος	puhrēpuhr	nab	1	Line 1
βασιλέως	šāh	šāh	1	Line 1
Ἀρταξάρου	Ardašīr	Ardašīr	1	Line 1
μασδαασνου	mazdēzn	mazdēsn	1	Line 1
υἱὸς	puhr	pus	1	Line 1
Ἀναριανῶν	Anērān	Anērān	1	Line 1
καὶ	ud	ud	1	Line 1
βασιλεὺς	šāh	šāh	1	Line 1
Σαπώρης	Šābuhr	Šābuhr	1	Line 1
θεὸς	baγ	bay	1	Line 1
μασδαασνης	mazdēzn	mazdēsn	1	Line 1
ἐγὼ	Az	An	1	Line 1
καὶ	ud	ud	3	Line 2
— — —γηνήν	Balāsagān	Balāsagān	1	Line 2
ἔμπροσθεν	fraxš ō	frāz ō	1	Line 2
ἕως	yad	tā	1	Line 2
ὅλον	hamag	hamag	1	Line 2
πυλῶν	bar	dar	1	Line 2
Ἀλβανίαν	Ardān	Ar≺r≻ān	1	Line 2
ὄρους	kōf	kōf	1	Line 2
τὸ ὄρος	kōf	kōf	1	Line 2
Πρεσσουαρ	Parišxwār	Parišxwār	1	Line 2
Ἀλανῶν	Alānān	Alānān	1	Line 2
Καπ	Kaf	Kaf	1	Line 2
κατέχω	dārām	darēm	1	Line 2
ἔθνη	šahr	šahr	1	Line 2
Περσίδα	Pārs	Pārs	1	Line 2
Παρθίαν	Parθaw	Pahlaw	1	Line 2
Οὑζηνήν	Xūzestān	Xūzestān	1	Line 2
Μησανηνήν	Mēšān	Mēšān	1	Line 2
Ἀσσυρίαν	Asūrestān	Asūrestān	1	Line 2
Ἀδιαβηνήν	Nōdšīragān	Nōdšīragān	1	Line 2
Ἀραβίαν	Arbāyestān	Arbāyestān	1	Line 2
Μαχελονίαν	Sīgān	Sīgān	1	Line 2
Ἰβηρίαν	Wiržān	Wiruzān	1	Line 2
Ἀρμενίαν	Armin	Armin	1	Line 2
Ἀδουρβαδηνήν	Ādurbādegān	Ādurbāyagān	1	Line 2
καὶ	ud	ud	4	Line 3
τῆς θα≺λ≻άσσης	zrēh	i drayā	1	Line 3
τοῦ μέρους	ārag	ālag	1	Line 3
Μιζουν ἔθνος	Mazūnšahr	Mazūnšahr	1	Line 3
ἐκείνου	hō	ān	1	Line 3
ἐξ	až	az	1	Line 3
Τσατσηνῆς	Čāčestān	Čāčestān	1	Line 3
Σωδικηνῆς	Suγd	Sugd	1	Line 3
Κας	Kāš	Kāš	1	Line 3
ἕως	yad ō	tā ō	1	Line 3
Πασκιβουρων	Paškabūr	Paškabūr	1	Line 3
ἔμπροσθεν	fraxš ō	frāz ō	1	Line 3
ἕως	yad	tā	1	Line 3
Κουσηνῶν ἔθνη	Kušānšahr	Kušānšahr	1	Line 3
Ἰνδίαν	Hindestān	Hindestān	1	Line 3
Παραδηνήν	Pār≺a≻dān	Pār≺a≻dān	1	Line 3
Μακαραν	Mak≺u≻rān	Mak≺u≻rān	1	Line 3
Τουρηνήν	Tuγrān	Tūrān	1	Line 3
Σεγιστανήν	Sagestān	Sagestān	1	Line 3
Κερμανζηνήν	Kermān	Kirmān	1	Line 3
τὰ ἀνωτάτω ἔθνη	Abaršahr	Abaršahr	1	Line 3
πάντα	hamag	hamag	1	Line 3
Μαδηνήν	Māδ	Māh	1	Line 3
Γουργαν	Wurgān	Gurgān	1	Line 3
Ῥην	Harēw	Harēw	1	Line 3
Μαρου	Marγ	Marw	1	Line 3
ἐκαλέσαμεν	karām nām	kunēm nām	2	Line 4
Ὠρμισδαρταξιρ	Ohrmezd-Ardašīr	Ohrmezd-Ardašīr	1	Line 4
καὶ	ud	ud	1	Line 4
Πηρωσ-σαβουρ	Pērōz-Šābuhr	Pērōz-Šābuhr	1	Line 4
καὶ	ud	ud	1	Line 4
καὶ	ud	ud	2	Line 5
	ud	ud	1	Line 5
τὰ τοσαῦτα	āwand	and	1	Line 5
ἡμεῖν	amā		1	Line 5
πάντας	harw	harw	1	Line 5
ἐστήσαμεν	awestād ahēnd	nihād hēnd	1	Line 5
δουλείαν	bandagīf	bandagīh	1	Line 5
φόρους	bāž	bāz	1	Line 5
εἰς	pad	pad	1	Line 5
ἐθνῶν τοὺς δεσπότας τῶν	šahrδār	šahryār	1	Line 5
ἔθνη	šahr	šahr	1	Line 5
ταῦτα	im	ēn	1	Line 5
καὶ	ud	u-n	1	Line 5
καὶ	ud	ud	4	Line 6
ὅτε	kaδ	ka	1	Line 6
ἐξ ἐναντίας	paddēmān	handēmān	1	Line 6
γέγονενbūd	būd	būd	1	Line 6
πόλεμος	zambag	ardīg	1	Line 6
μέγας	wuzurg	wuzurg	1	Line 6
τῇ Μησιχίῃ	Mišīk	Mišīk	1	Line 6
ἐν	pad	pad	1	Line 6
τοὺς ὅρους	marz	marz	1	Line 6
Ἀσσυρίας	Asūrestān	Asūrestān	1	Line 6
εἰς	pad	pad	1	Line 6
ἐπῆλθεν	āγad	āmad	1	Line 6
ἡμᾶς	amā	amā	1	Line 6
τὸ τῶν Ἀριανῶν ἔθνος	Ērānšahr	Ērān šahr	1	Line 6
ἐπὶ	abar	abar	1	Line 6
τὴν Ἀσσυρίαν	Asūrestān	Asūrestān	1	Line 6
εἰς	ō	ō	1	Line 6
συνέλεξεν	hangāwišn kerd	hangāwisn kerd	1	Line 6
δύναμιν	zāwar	zōr	1	Line 6
ἐθνῶν	šahr	šahr	1	Line 6
Γερμανῶν	Garmāniyā	Garmān	1	Line 6
τε καὶ	ud	ud	1	Line 6
Γούθθων	Gōt	Gōt	1	Line 6
Ῥωμαίων ἀρχῆς	Frōm	Hrōm	1	Line 6
πάσης	hamag	hamag	1	Line 6
ἀπὸ	až	az	1	Line 6
Καῖσαρ	Kēsar	Kēsar	1	Line 6
Γορδιανὸς	Gōrdanyos	Gōrdanyos	1	Line 6
τὴν βασιλίαν ἔστημεν	awištād ahēm	ēstād hēm	1	Line 6
τῶν ἐθνῶν	šahr	šahr	1	Line 6
ἐπὶ	pad	pad	1	Line 6
πρώτως	naxwišt	naxust	1	Line 6
ἀνηλώσαμεν ἡμεῖς	wānād	wānīd	1	Line 7
ἀνηγόρευσαν	kerd	kerd	1	Line 7
Καίσαρα	kēsar	kēsar	1	Line 7
Φίλιππον	Filip≺p≻os	Filip≺p≻os	1	Line 7
οἱ Ῥωμαῖοι	Frōmāyīn	Hrōmāyīn	1	Line 7
καὶ	ud	ud	1	Line 7
τὴν στρατείαν	zāwar	zōr	1	Line 7
Ῥωμαίων τῶν	Frōmāyīn	Hrōmāyīn	1	Line 7
ἐπανήρη	ōžad	ōzad	1	Line 7
Καῖσαρ	Kēsar	Kēsar	1	Line 7
Γορδιανὸς	Gōrdanyos	Gōrdanyos	1	Line 7
καὶ	ud	ud	2	Line 8
ψυχῶν αὐτῶν ἀντίτειμα τῶν	gyān goxn	xōn gyān	1	Line 8
ἐπωνομάσαμεν	nām awestād	nām nihād	1	Line 8
Πηρωσ-σαβουρ	Pērōz-Šābuhr	Pērōz-Šābuhr	1	Line 8
τοῦτο	ēd kerd	ēd kerd	1	Line 8
διὰ	až	az	1	Line 8
Μισιχην	Mišīk	Mišīk	1	Line 8
ἡμεῖς	amā	amā	1	Line 8
ἔστη	awestād	estād	1	Line 8
φόρους	bāž	bāz	1	Line 8
εἰς	pad	pad	1	Line 8
ἡμεῖν	ō amā	ō amā	1	Line 8
ἔδοτο	dād	dād	1	Line 8
δηναρίων	dēnār	denār	1	Line 8
πεντακοσίαν χειλιάδα	500 hazār	500 hazār	1	Line 8
ἦλθεν	āγad	āmad	1	Line 8
εἰς	ō	ō	1	Line 8
παράκλησιν	nemastīg	lābag	1	Line 8
ὁ Καῖσαρ	Kēsar	Kēsar	1	Line 8
καὶ	ud	ud	1	Line 8
Φίλιππος	Filip≺p≻os	Filip≺p≻os	1	Line 8
καὶ	ud	ud	2	Line 9
ἀνίλαμεν	ōžad	ōzad	1	Line 9
ἐν	pad	pad	1	Line 9
Βαρβαρισσῷ	Bēbāliš	*Bēbāliš	1	Line 9
ἑξήκοντα χειλιάδας	60000	60000	1	Line 9
δύναμιν	zāwar	zōr	1	Line 9
Ῥωμαίων	Frōmāyīn	Hrōmāyin	1	Line 9
ὡρμήσαμεν	wihišt ahēm	wihist hēm	1	Line 9
τῶν Ῥωμαίων	Frōmāyīn	Hrōmāyin	1	Line 9
τὸ ἔθνος	šahr	šahr	1	Line 9
ἐπὶ	abar	abar	1	Line 9
ἡμεῖς	amā	amā	1	Line 9
ἐποίησεν	kerd	kerd	1	Line 9
ἀδικίαν	winās	wināh	1	Line 9
τὴν Ἀρμενίαν	Armin	Armin	1	Line 9
εἰς	ō	ō	1	Line 9
ἐψεύσατο	druxt	druxt	1	Line 9
πάλιν	bid	did	1	Line 9
ὁ Καῖσαρ	Kēsar	Kēsar	1	Line 9
καὶ	ud	ud	1	Line 9
καὶ	ud	u-n	2	Line 10
ἔθνη ἐπ’ αὐτὴν	abar Asūriyā šahr	abar Asūriyā šahr	1	Line 10
ὅσα	čē	čē	1	Line 10
	ud	ud	1	Line 10
	wardyāz	wardyāz	1	Line 10
καὶ		ud	1	Line 10
ἠρημώσαμεν	awērān kerd	awērān kerd	1	Line 10
ἐκρατήσαμεν	grift	grift	1	Line 10
ἐν	pad	pad	1	Line 10
μιᾷ	ē≺w≻	ēw	1	Line 10
τῇ ἀγωγῇ	yāwar	jār	1	Line 10
ἐκείνῃ	hō	ān	1	Line 10
τε καὶ	ud	ud	1	Line 10
πόλεις	šahrestān	šahrestān	1	Line 10
καστέλλους	diz	diz	1	Line 10
ἀπὸ	až	az	1	Line 10
τοῦ ἔθνους	šahr	šahr	1	Line 10
Ῥωμαίων	Frōmāyīn	Hrōmāyin	1	Line 10
ἐκαύσαμεν	ādurwaxt	ādursōxt	1	Line 10
πάντα	hamag	hamag	1	Line 10
περίχωροι	parβēr	parwār	1	Line 10
ἦσαν	būd	būd	1	Line 10
καὶ	ud	ud	1	Line 10
τὸ ἔθνος	šahr	šahr	1	Line 10
Συρίας	Asūriyā	Asūriyā	1	Line 10
σὺν	aδ	az	5	Line 11
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	4	Line 11
πόλιν	šahrestān	šahrestān	4	Line 11
	hamgōs	hammis	1	Line 11
	parβēr	parwār	1	Line 11
	aδ	az	1	Line 11
	Aspōragān	Aspōragān	1	Line 11
	Bīrt	Bīrt	1	Line 11
Ἱεράπολιν	Manbūg	Manbūg	1	Line 11
Βαρβαλισσὸν	Bēbāliš	*Bebālis	1	Line 11
Σοῦραν	Sūrā	Sūrā	1	Line 11
τῇ περιχώρῳ	hamgōs parβēr	parwār hammis	1	Line 11
Βίρθαν Ἀσπωράκου	Bīrt-Arūbān	Bīrt *Arūbān	1	Line 11
Ἀναθαν	Ānā̆t	Ānāt	1	Line 11
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	6	Line 12
σὺν	aδ	az	6	Line 12
πόλιν	šahrestān	šahrestān	6	Line 12
Οὐριμα	Urnā	Umā	1	Line 12
Ζεῦγμα	Zōmā	Zōmā	1	Line 12
Ῥεφανέαν	Refaniyos	*Refaniyos	1	Line 12
Ἀπαμίαν	Apōmiyā	*Apōmiyā	1	Line 12
Χαλκίδα	Kinašrā	*Kinasrā	1	Line 12
Βέρροιαν	Halab	Halab	1	Line 12
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	5	Line 13
σὺν	aδ	az	5	Line 13
πόλιν	šahrestān	šahrestān	5	Line 13
Κύρρον	Kir≺r≻os	Kir≺r≻os	1	Line 13
Ἀντιόχιαν	Andiyō̆k	Andiyōk	1	Line 13
Σελεύκιαν	Selūkiyā	Selūkiyā	1	Line 13
Λαρμέναζα	Armenāž	Armenāz	1	Line 13
Γίνδαρον	Gindaros	Gindaros	1	Line 13
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	5	Line 14
σὺν	aδ	az	5	Line 14
πόλιν	šahrestān	šahrestān	5	Line 14
ἄλλην	any	any	1	Line 14
Χαμαθ	Hamāt	Hamāt	1	Line 14
Σίνζαρα	Sīzar	Sinzar	1	Line 14
Νεικόπολιν	Nīkopolos	*Nīkopolos	1	Line 14
Ἀλεξάνδριαν	Alexsandariyā	Alexsandariyā	1	Line 14
Σελεύκιαν	Selūkiyā	Selūkiyā	1	Line 14
πόλιν	šahrestān	šahrestān	6	Line 15
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	5	Line 15
σὺν	aδ	az	5	Line 15
τῇ περιχώρω	parβēr hamgōs	parwār hammis	1	Line 15
σύν	aδ	az	1	Line 15
Γερμανείκιαν	Garmaniyos	Garmanos	1	Line 15
Κορκουσίωνα	Kirkisiyā	Kirkīsiyā	1	Line 15
Δοῦραν	Dūrā	Dūrā	1	Line 15
Διχωρ	Dīkōr	Dīkōr	1	Line 15
Δολίχην	Dōlōx	Dōlīx	1	Line 15
Ἀριστίαν	Aristōn	Aristōn	1	Line 15
σὺν	aδ	az	4	Line 16
πόλιν	šahrestān	šahrestān	4	Line 16
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	3	Line 16
Δόμαν	Domān	Domān	1	Line 16
Σάταλα	Sātal	Sātal	1	Line 16
Καππαδοκίας	pad Kap≺p≻ōdakiyā	pad Kap≺p≻ōdakiyā	1	Line 16
Χαναρ	Xā̆nar	Xānar	1	Line 16
τῇ περιχώρῳ	parβēr hamgōs	parwar hammis	1	Line 16
Βάτναν	Batnān	Batnān	1	Line 16
σὺν	aδ	az	5	Line 17
τῇ περιχώρῳ	parβēr hamgōs	parwār hammis	4	Line 17
πόλιν	šahrestān	šahrestān	4	Line 17
τριάκοντα ἑπτὰ	37	37	1	Line 17
πόλεις	šahrestān	šahrestān	1	Line 17
ταῖς περιχώροις	parβēr hamgōs	parwār hammis	1	Line 17
ὁμοῦ	hamsāg	āmār	1	Line 17
Φρέατα	Frāt	Frāt	1	Line 17
Σουιδ	Šūd	Šūd	1	Line 17
Σουισαν	Sūš	Sūš	1	Line 17
Ἀρτανγιλλα	Artangiliyā	*Artangiliyā	1	Line 17
καὶ	ud	ud	2	Line 18
Κάρρας	Harrān	Harrān	2	Line 18
ἡμᾶς	amā	amā	1	Line 18
ἦλθεν	āγad	āmad	1	Line 18
ἐφ’	abar	abar	1	Line 18
Καῖσαρ	Kēsar	Kēsar	1	Line 18
Οὐαλεριανος	Wālaraniyos	Waliyāranos	1	Line 18
ἐπολιορκοῦμεν	parrūδīd	- - - -	1	Line 18
Ἔδεσσα≺ν≻	Urhā	Urhā	1	Line 18
ὡρμήσαμεν	ahēm wihišt	wihist hēm	1	Line 18
ἐπὶ	abar	abar	1	Line 18
τε καὶ	ud	ud	1	Line 18
Ἔδεσσαν	Urhā	Urhā	1	Line 18
ἡμεῖς	amā	amā	1	Line 18
ὁπότε	kaδ	ka	1	Line 18
τῇ τρίτῃ	Hridīg	sidīgar	1	Line 18
δε		ud	1	Line 18
ἀγωγῇ	yāwar	jār	1	Line 18
ἀπὸ	až	az	9	Line 19
ἔθνους	šahr	šahr	8	Line 19
αὐτοῦ		ōy	1	Line 19
μετ’	aδ	abāg	1	Line 19
καὶ	ud	u-š	1	Line 19
ἦσαν	būd	būd	1	Line 19
ἔθνο≺υ≻ς	šahr	šahr	1	Line 19
Λυσιτανίας	Afrikiyā	Afrikē	1	Line 19
Ἁμαστρίας	Astriyā≺-≻	*Astriyā	1	Line 19
Ἱσπανίας	Ispaniyā	Ispāniyā	1	Line 19
Μυσίας	Mōsiyā	Mōsiyā	1	Line 19
Παννονίας	Pannaniyā	Pannaniyā	1	Line 19
Ῥετίας	Rēšiyā	Rēšiyā	1	Line 19
Δακείας	Dākiyā	Dākiyā	1	Line 19
Νωρικοῦ	Nīrakos	*Nōrikos	1	Line 19
Γερμανῶν	Garmāniyā	Garmāniyā	1	Line 19
ἔθνους	šahr	šahr	12	Line 20
ἀπὸ	až	az	11	Line 20
ἀπο	až	az	1	Line 20
Συρίας	Sūriyā	Sūriyā	1	Line 20
Φρυγίας	Frūgāyā	Frūgē	1	Line 20
Καππαδοκίας	Kap≺p≻ōdakiyā	Kap≺p≻ōdakiyā	1	Line 20
Κιλικίας	Kīlikiyā	Kīlikiyā	1	Line 20
Λυκίας	Lūkiyā	Lūkiyā	1	Line 20
Γαλατίας	Galātīniyā	Galātiyā	1	Line 20
Λυκαονίας	Likōniyā	Likōniyā	1	Line 20
Συρίας	Isawriyā	Isawriyā	1	Line 20
Καμπανίας	Pamfilāyā	*Pamfiliyā	1	Line 20
Ἀσίας	Āsāyā	Āsiyā	1	Line 20
Βιθυνίας	Bitūniyā	*Bitūniyā	1	Line 20
Θρᾳκίας	Trākiyā	Trākiyā	1	Line 20
ἀπὸ	až	az	8	Line 21
ἔθνους	šahr	šahr	8	Line 21
Ἀσίας	—-≺-≻	- - - -	1	Line 21
δύναμις	zāwar	zōr	1	Line 21
ἑβδομήκοντα χειλιάδων	70 hazār	70 hazār	1	Line 21
Μεσοποταμίας	Maδyānrōdān	Mayānrōdān	1	Line 21
Λυδίας	Rōdōs	Rōdōs	1	Line 21
Γερμανίας	Garmāniyā	Garmāniyā	1	Line 21
Μαυριτανίας	Mōrān	Mōrān	1	Line 21
Ἀραβίας	Arabiyā	Arabiyā	1	Line 21
Ἰουδαίας	Yūdāyā	Yahūdiyā	1	Line 21
Φοινείκης	Fonikāyā	Fōnikiyā	1	Line 21
καὶ	ud	ud	4	Line 22
συνκλητικοὺς	sānatōr	*sanātōr	1	Line 22
τόν ἔπαρχον	rabēsēf	*rabēsēf	1	Line 22
αὐτοὺς ἐξηγάγομεν	wāst ahēnd	ānīd hēnd	1	Line 22
εἰς	bē ō	bē ō	1	Line 22
ἐν χερσὶν ἐκρατήσαμεν	dastgraβ kerd	dastgraw kerd	1	Line 22
πάντας	harw	harw	1	Line 22
ἦσαν	būd	būd	1	Line 22
ἄρχοντες	sārār	sālār	1	Line 22
δυνάμεως	zāwar	zōr	1	Line 22
ἐκείνης	hō	ān	1	Line 22
οἵτινες	kē	kē	1	Line 22
ἡγεμόνας	hēgemōn	hēgemōn	1	Line 22
τοὺς λοιποὺς	ōyādag	abārīg	1	Line 22
ἐκρατήσαμεν	dastgraβ kerd	dastgraw kerd	1	Line 22
χερσὶν	dast	dast	1	Line 22
