Greek	Parthian	Middle Persian	Category	Line	Wikidata	
Ἀναριανῶν	Anērān	Anērān	#LOCderiv	Line 1		
Ἀριανῶν	Ērān	Ērān	#LOCderiv	Line 1	Q179733	
Ἀρταξάρου	Ardašīr	Ardašīr	#PER	Line 1		
Παπάκου	Pābag	Pābag	#PER	Line 1		
Σαπώρης	Šābuhr	Šābuhr	#PER	Line 1	Q191455	
Ἀριανῶν ἔθνους	Ērānšahr	Ērānšahr	#LOC	Line 1	Q83891	
	Asūriyā	Asūriyā	#LOC	Line 10		
Ῥωμαίων	Frōmāyīn	Hrōmāyin	#LOC	Line 10		
Συρίας	Asūriyā	Asūriyā	#LOC	Line 10		
Ἀναθαν	Ānā̆t	Ānāt	#LOC	Line 11		
Βαρβαλισσὸν	Bēbāliš	*Bebālis	#LOC	Line 11		
Βίρθαν Ἀσπωράκου	Bīrt-Arūbān	Bīrt *Arūbān	#LOC	Line 11		
Ἱεράπολιν	Manbūg	Manbūg	#LOC	Line 11		
Σοῦραν	Sūrā	Sūrā	#LOC	Line 11		
	Aspōragān	Aspōragān	#LOC	Line 11		
	Bīrt	Bīrt	#LOC	Line 11		
Ἀπαμίαν	Apōmiyā	*Apōmiyā	#LOC	Line 12		
Βέρροιαν	Halab	Halab	#LOC	Line 12		
Ζεῦγμα	Zōmā	Zōmā	#LOC	Line 12		
Οὐριμα	Urnā	Umā	#LOC	Line 12		
Ῥεφανέαν	Refaniyos	*Refaniyos	#LOC	Line 12		
Χαλκίδα	Kinašrā	*Kinasrā	#LOC	Line 12		
Ἀντιόχιαν	Andiyō̆k	Andiyōk	#LOC	Line 13		
Γίνδαρον	Gindaros	Gindaros	#LOC	Line 13		
Κύρρον	Kir≺r≻os	Kir≺r≻os	#LOC	Line 13	Q536924	
Λαρμέναζα	Armenāž	Armenāz	#LOC	Line 13		
Σελεύκιαν	Selūkiyā	Selūkiyā	#LOC	Line 13	Q1136681	
Ἀλεξάνδριαν	Alexsandariyā	Alexsandariyā	#LOC	Line 14		
Νεικόπολιν	Nīkopolos	*Nīkopolos	#LOC	Line 14		
Σελεύκιαν	Selūkiyā	Selūkiyā	#LOC	Line 14		
Σίνζαρα	Sīzar	Sinzar	#LOC	Line 14		
Χαμαθ	Hamāt	Hamāt	#LOC	Line 14		
Ἀριστίαν	Aristōn	Aristōn	#LOC	Line 15		
Γερμανείκιαν	Garmaniyos	Garmanos	#LOC	Line 15		
Διχωρ	Dīkōr	Dīkōr	#LOC	Line 15		
Δολίχην	Dōlōx	Dōlīx	#LOC	Line 15		
Δοῦραν	Dūrā	Dūrā	#LOC	Line 15		
Κορκουσίωνα	Kirkisiyā	Kirkīsiyā	#LOC	Line 15		
Βάτναν	Batnān	Batnān	#LOC	Line 16		
Δόμαν	Domān	Domān	#LOC	Line 16		
Σάταλα	Sātal	Sātal	#LOC	Line 16		
Καππαδοκίας	Kap≺p≻ōdakiyā	Kap≺p≻ōdakiyā	#LOC	Line 16	Q217265	
Χαναρ	Xā̆nar	Xānar	#LOC	Line 16		
Ἀρτανγιλλα	Artangiliyā	*Artangiliyā	#LOC	Line 17		
Σουιδ	Šūd	Šūd	#LOC	Line 17		
Σουισαν	Sūš	Sūš	#LOC	Line 17	Q180773	
Φρέατα	Frāt	Frāt	#LOC	Line 17		
Ἔδεσσα≺ν≻	Urhā	Urhā	#LOC	Line 18		
Καῖσαρ	Kēsar	Kēsar	#PER	Line 18		
Κάρρας	Harrān	Harrān	#LOC	Line 18		
Οὐαλεριανος	Wālaraniyos	Waliyāranos	#PER	Line 18	Q46750	
Ἁμαστρίας	Astriyā≺-≻	*Astriyā	#LOC	Line 19		
Γερμανῶν	Garmāniyā	Garmāniyā	#LOC	Line 19		
Δακείας	Dākiyā	Dākiyā	#LOC	Line 19		
Ἱσπανίας	Ispaniyā	Ispāniyā	#LOC	Line 19		
Λυσιτανίας	Afrikiyā	Afrikē	#LOC	Line 19		
Μυσίας	Mōsiyā	Mōsiyā	#LOC	Line 19		
Νωρικοῦ	Nīrakos	*Nōrikos	#LOC	Line 19		
Παννονίας	Pannaniyā	Pannaniyā	#LOC	Line 19		
Ῥετίας	Rēšiyā	Rēšiyā	#LOC	Line 19		
— — —γηνήν	Balāsagān	Balāsagān	#LOC	Line 2		
Ἀδιαβηνήν	Nōdšīragān	Nōdšīragān	#LOC	Line 2		
Ἀδουρβαδηνήν	Ādurbādegān	Ādurbāyagān	#LOC	Line 2		
Ἀλανῶν	Alānān	Alānān	#LOC	Line 2		
Ἀλβανίαν	Ardān	Ar≺r≻ān	#LOC	Line 2		
Ἀραβίαν	Arbāyestān	Arbāyestān	#LOC	Line 2		
Ἀρμενίαν	Armin	Armin	#LOC	Line 2	Q1423867	
Ἀσσυρίαν	Asūrestān	Asūrestān	#LOC	Line 2		
Ἰβηρίαν	Wiržān	Wiruzān	#LOC	Line 2		
Καπ	Kaf	Kaf	#LOC	Line 2		
Μαχελονίαν	Sīgān	Sīgān	#LOC	Line 2		
Μησανηνήν	Mēšān	Mēšān	#LOC	Line 2		
Οὑζηνήν	Xūzestān	Xūzestān	#LOC	Line 2		
Παρθίαν	Parθaw	Pahlaw	#LOC	Line 2		
Περσίδα	Pārs	Pārs	#LOC	Line 2		
Πρεσσουαρ	Parišxwār	Parišxwār	#LOC	Line 2		
Ἀσίας	Āsāyā	Āsiyā	#LOC	Line 20		
Βιθυνίας	Bitūniyā	*Bitūniyā	#LOC	Line 20		
Γαλατίας	Galātīniyā	Galātiyā	#LOC	Line 20		
Θρᾳκίας	Trākiyā	Trākiyā	#LOC	Line 20	Q41741	
Καμπανίας	Pamfilāyā	*Pamfiliyā	#LOC	Line 20		
Καππαδοκίας	Kap≺p≻ōdakiyā	Kap≺p≻ōdakiyā	#LOC	Line 20		
Κιλικίας	Kīlikiyā	Kīlikiyā	#LOC	Line 20		
Λυκαονίας	Likōniyā	Likōniyā	#LOC	Line 20		
Λυκίας	Lūkiyā	Lūkiyā	#LOC	Line 20		
Συρίας	Sūriyā	Sūriyā	#LOC	Line 20		
Συρίας	Isawriyā	Isawriyā	#LOC	Line 20		
Φρυγίας	Frūgāyā	Frūgē	#LOC	Line 20		
Ἀραβίας	Arabiyā	Arabiyā	#LOC	Line 21		
Ἀσίας	—-≺-≻	- - - -	#LOC	Line 21		
Γερμανίας	Garmāniyā	Garmāniyā	#LOC	Line 21		
Ἰουδαίας	Yūdāyā	Yahūdiyā	#LOC	Line 21		
Λυδίας	Rōdōs	Rōdōs	#LOC	Line 21		
Μαυριτανίας	Mōrān	Mōrān	#LOC	Line 21		
Μεσοποταμίας	Maδyānrōdān	Mayānrōdān	#LOC	Line 21		
Φοινείκης	Fonikāyā	Fōnikiyā	#LOC	Line 21		
Ἐδέσσων	Urhā	Urhā	#LOC	Line 22		
Καίσαρα	Kēsar	Kēsar	#PER	Line 22		
Καίσαρος	Kēsar	Kēsar	#PER	Line 22		
Καρρῶν	Harrān	Harrān	#LOC	Line 22		
Οὐαλεριανὸν	Wālaraniyos	Waliyāranos	#PER	Line 22	Q46750	
Οὐαλεριανοῦ	Wālaraniyos	Waliyāranos	#PER	Line 22	Q46750	
 Περσίδα	Pārs	Pārs	#LOC	Line 22		
Κιλικίας	Kīlikiyā	Kīlikiyā	#LOC	Line 23		
Καππαδοκίας	Kap≺p≻ōdakiyā	Kap≺p≻ōdakiyā	#LOC	Line 23		
Συρίας	Sūriyā	Sūriyā	#LOC	Line 23		
Aἰγέαν	Āygā	Aygiyā	#LOC	Line 24		
Ἀλεξάνδριαν	Alexsandariyā	Alexsandariyā	#LOC	Line 24		
Κατάβολον	Katabalā	*Katabalā	#LOC	Line 24		
Μομψουεστίαν	Māmāstiyā	*Māmasastiyā	#LOC	Line 24		
Ῥωμαίων	Frōmāyīn	Hrōmāyīn	#LOC	Line 24		
Σαμόσατα	Šamšāt	Šamīšāt	#LOC	Line 24		
κατ’ Ἰσὸν	Katis≺s≻os	Katis≺s≻os	#LOC	Line 24		
Ἄδανα	Adāniyā	Adāniyā	#LOC	Line 25		
Ζεφύριν	Zefīrōn	Zefīrōn	#LOC	Line 25		
Κώρυκον	Kōrikos	Kōrikos	#LOC	Line 25		
Μαλλὸν	Māl≺l≻os	Māl≺l≻os	#LOC	Line 25		
Σηβαστὴν	Sebastiyā	Sebastiyā	#LOC	Line 25		
Ταρσὸν	Tarsos	Tarsos	#LOC	Line 25		
Ἀγρίππαν	Anazarbos	Anazarbos	#LOC	Line 26		
Καστάβαλα	Kastābalā	Kastābalāy	#LOC	Line 26		
Νεικόπολιν	Nīkopolos	*Nīkopolos	#LOC	Line 26		
Νερωνιάδα	Nerōniyās	Nerōniyās	#LOC	Line 26		
Φλαυιάδα	Flāwiyās	Flāwiyās	#LOC	Line 26		
Ἀνεμοῦριν	Anīmūrīn	Anīmūrīn	#LOC	Line 27		
Ἀντιόχιαν	Andiyō̆kiyā	Andiyōk	#LOC	Line 27		
Ἐπιφάνιαν	Ēpīfaniyā	Ēpīfaniyā	#LOC	Line 27		
Κελένδεριν	Kīlindiros	Kīlindiros	#LOC	Line 27		
Μυῶν	Mīyanpolos	Miyanpolos	#LOC	Line 27		
Σελεύκιαν	Sardiyāb	Selūkiyā	#LOC	Line 27		
Σελινοῦν	Selīnūs	Selīnūs	#LOC	Line 27		
Δομετίου	Mōstinopolos	*Mōstinopolos	#LOC	Line 28		
Κόμανα	Kōmānāyā	Kōmānāy	#LOC	Line 28		
Κύβιστρα	Kūbistariyā	Kūbistariyā	#LOC	Line 28		
Μηιακαριρη	Kēsariyā	Kēsariyā	#LOC	Line 28		
Τύανα	Tūyanā	Tīyanā	#LOC	Line 28		
Βίρθαν	Bīrt	Bīrt	#LOC	Line 29		
Ἰκόνιν	Īkōniyā	Īkōniyā	#LOC	Line 29		
Λάρανδα	Lārandiyā	Lārandiyā	#LOC	Line 29		
Ῥακουνδιαν	Rākūndiyā	Rākūndiyā	#LOC	Line 29		
Σηβάστιαν	Sebastiyā	Sebastiyā	#LOC	Line 29		
Γουργαν	Wurgān	Gurgān	#LOC	Line 3		
Ἰνδίαν	Hindestān	Hindestān	#LOC	Line 3		
Κερμανζηνήν	Kermān	Kirmān	#LOC	Line 3		
Κουσηνῶν ἔθνη	Kušānšahr	Kušānšahr	#LOC	Line 3		
Μαδηνήν	Māδ	Māh	#LOC	Line 3		
Μακαραν	Mak≺u≻rān	Mak≺u≻rān	#LOC	Line 3		
Μαρου	Marγ	Marw	#LOC	Line 3		
Μιζουν ἔθνος	Mazūnšahr	Mazūnšahr	#LOC	Line 3		
Παραδηνήν	Pār≺a≻dān	Pār≺a≻dān	#LOC	Line 3		
Πασκιβουρων	Paškabūr	Paškabūr	#LOC	Line 3		
Ῥην	Harēw	Harēw	#LOC	Line 3		
Σεγιστανήν	Sagestān	Sagestān	#LOC	Line 3		
Σωδικηνῆς	Suγd	Sugd	#LOC	Line 3		
ἀνωτάτω ἔθνη	Abaršahr	Abaršahr	#LOC	Line 3		
Τουρηνήν	Tuγrān	Tūrān	#LOC	Line 3		
Τσατσηνῆς	Čāčestān	Čāčestān	#LOC	Line 3		
Ἀναριανων	Anērān	Anērān	#LOCderiv	Line 30		
Οὐζηνῇ	Xūzestān	Xūzestān	#LOC	Line 30		
Παρθίᾳ	Parθaw	Pahlaw	#LOC	Line 30		
Περσίδει	Pārs	Pārs	#LOC	Line 30		
Ῥωμαίων	Frōmāyīn	Hrōmāyīn	#LOCderiv	Line 30		
Ἀσσυρίᾳ	Asūrestān	Asūrestān	#LOC	Line 30		
 Ἀριανῶν	Ērānšahr	Ērānšahr	#LOC	Line 30	Q83891	
Γουαραθραν	Warhrān	Warhrān	#PER	Line 32		
Ἀρμενίας	Arminīn	Arminān	#LOCderiv	Line 33	Q1423867	
 Ἀδουρ-αναιδ	Ādur-Anāhīd	Ādur-Anāhīd	#PER	Line 33		
 Ὡρμισδαρταξιρ	Ohrmezd-Ardašīr	Ohrmezd-Ardašīr	#PER	Line 33		
Χοστρω-αδουραναιδ	Husraw-Ādur-Anāhīd	Husraw-ādur-Anāhīd	#PER	Line 33		
Χοστρω-ορμισδαρταξειρ	Husraw-Ohrmezd-Ardašīr	Husraw-Ohrmezd-Ardašīr	#PER	Line 33		
Χοστρω-σαβουρ	Husraw-Šābuhr	Husraw-Šābuhr	#PER	Line 33		
Ἰνδίας	Hind	Hind	#LOC	Line 34		
Μησανηνῶν	Mēšān	Mēšān 	#LOC	Line 34		
Ναρσαίου	Narseh	Narseh	#PER	Line 34		
Σεγιστηνῆς	Sagestān	Sagestān	#LOC	Line 34		
Σαβουρ	Šābuhr	Šābuhr	#PER	Line 34		
Τουρηνῆς	Turγestān	Tūrestān	#LOC	Line 34		
Χοστρω-ναρση	Husraw-Narseh	Husraw-Narseh	#PER	Line 34		
Χοστρω-σαβουρ	Husraw-Šābuhr	Husraw-Šābuhr	#PER	Line 34		
Mησανηνῶν	Mēšān	Mēšān	#LOC	Line 36		
Ἀδουρ-αναιδ	Ādur-Anāhīd	Ādur-Anāhid	#PER	Line 36		
Ἀρταξάρου	Ardašīr	Ardašīr	#PER	Line 36		
Γεληνῶν	Gēlān	Gēlān	#LOC	Line 36		
Γουαραθρανου	Warhrām	Warhrān	#PER	Line 36		
Δηνακης	Dēnag	Dēnag	#PER	Line 36		
Παπακαν	Pābagān	Pābagān	#PER	Line 36		
Παπάκου	Pābag	Pābag	#PER	Line 36		
Σαπώρου	Šābuhr	Šābuhr	#PER	Line 36		
Σασάνου	Sāsān	Sāsān	#PER	Line 36		
Χορνανζημ	Xwar≺r≻ā̆nzēm	Xwar≺r≻ānzēm	#LOC	Line 36		
Ἀνωσακ	Anōšag	Anōšag	#PER	Line 37		
Ἀρμενίας	Arminīn	Arminān	#LOCderiv	Line 37	Q1423867	
Γοραζ-δουκτ	Warāzduxt	Warāzduxt	#PER	Line 37		
Μυρρωδ	Murrōd	*Murrōd	#PER	Line 37		
Ναρσαίου	Narseh	Narseh	#PER	Line 37		
Πηρώζου	Pērōz	Pērōz	#PER	Line 37		
Ῥωδ-δουκτκ≺α≻κ	Rōdduxt	Rōdduxt	#PER	Line 37		
Σαβουρ-δουκτακ	Šābuhrduxtag	Šābuhrduxtag	#PER	Line 37		
Σαπώρου	Šābuhr	Šābuhr	#PER	Line 37		
Σεγιστηνῶν	Sagān	Sagān	#LOCderiv	Line 37		
Σεγιστανῶν	Sagān	Sagān	#LOCderiv	Line 37		
Τιεσμακ	Čašmag	Čašmag	#PER	Line 37		
